package,version,build
_py-xgboost-mutex,2.0,cpu_0
access,1.1.8,pyhd8ed1ab_1
aenum,3.1.15,pyhd8ed1ab_0
affine,2.4.0,pyhd8ed1ab_0
agate-dbf,0.2.3,pyhd8ed1ab_0
agate-excel,0.2.3,py_0
agate-sql,0.7.2,pyhd8ed1ab_0
agate,1.11.0,pyh7428d3b_0
aiofiles,23.2.1,pyhd8ed1ab_0
aioftp,0.22.3,pyhd8ed1ab_1
aiohttp,3.9.5,py310h8d17308_0
aiosignal,1.3.1,pyhd8ed1ab_0
alembic,1.13.1,pyhd8ed1ab_1
almosthere,2.0.2,h8ffe710_1
altair,5.3.0,pyhd8ed1ab_0
amply,0.1.6,pyhd8ed1ab_0
annotated-types,0.7.0,pyhd8ed1ab_0
anyio,4.4.0,pyhd8ed1ab_0
aom,3.5.0,h63175ca_0
aplus,0.11.0,py_1
appdirs,1.4.4,pyh9f0ad1d_0
apricot-select,0.6.1,pyhd8ed1ab_0
argcomplete,3.4.0,pyhd8ed1ab_0
argon2-cffi-bindings,21.2.0,py310h8d17308_4
argon2-cffi,23.1.0,pyhd8ed1ab_0
arrow,1.3.0,pyhd8ed1ab_0
asciitree,0.3.3,py_2
asdf-astropy,0.6.1,pyhd8ed1ab_0
asdf-coordinates-schemas,0.3.0,pyhd8ed1ab_0
asdf-standard,1.1.1,pyhd8ed1ab_0
asdf-transform-schemas,0.5.0,pyhd8ed1ab_0
asdf,3.2.0,pyhd8ed1ab_0
astropy-healpix,1.0.3,py310hb0944cc_1
astropy-iers-data,0.2024.6.17.0.31.35,pyhd8ed1ab_0
astropy,6.1.1,py310hb0944cc_0
asttokens,2.4.1,pyhd8ed1ab_0
async-lru,2.0.4,pyhd8ed1ab_0
async-timeout,4.0.3,pyhd8ed1ab_0
attrs,23.2.0,pyh71513ae_0
aws-c-auth,0.7.0,h6f3c987_2
aws-c-cal,0.6.0,h6ba3258_0
aws-c-common,0.8.23,hcfcfb64_0
aws-c-compression,0.2.17,h420beca_1
aws-c-event-stream,0.3.1,had47b81_1
aws-c-http,0.7.11,h72ba615_0
aws-c-io,0.13.28,ha35c040_0
aws-c-mqtt,0.8.14,h4941efa_2
aws-c-s3,0.3.13,he04eaa7_2
aws-c-sdkutils,0.1.11,h420beca_1
aws-checksums,0.1.16,h420beca_1
aws-crt-cpp,0.20.3,h247a981_4
aws-requests-auth,0.4.2,py_0
aws-sdk-cpp,1.10.57,h1a0519f_17
babel,2.14.0,pyhd8ed1ab_0
backoff,2.2.1,pyhd8ed1ab_0
bcrypt,4.1.3,py310hc226416_0
beautifulsoup4,4.12.3,pyha770c72_0
bed-reader,1.0.0,py310h5c43347_0
bgen,4.1.3,he0a40f0_0
binaryornot,0.4.4,py_1
biopython,1.83,py310h8d17308_0
blake3,0.3.3,py310h87d50f1_2
blas-devel,3.9.0,12_win64_mkl
blas,2.112,mkl
bleach,6.1.0,pyhd8ed1ab_0
blinker,1.8.2,pyhd8ed1ab_0
blosc,1.21.5,hdccc3a2_0
bokeh,3.4.1,pyhd8ed1ab_0
boltons,24.0.0,pyhd8ed1ab_0
boost-cpp,1.78.0,h9f4b32c_4
boto3,1.34.130,pyhd8ed1ab_0
botocore,1.34.130,pyge310_1234567_0
bqplot,0.12.43,pyhd8ed1ab_0
branca,0.7.2,pyhd8ed1ab_0
brotli-bin,1.0.9,hcfcfb64_9
brotli-python,1.0.9,py310h00ffb61_9
brotli,1.0.9,hcfcfb64_9
bzip2,1.0.8,hcfcfb64_5
c-ares,1.28.1,hcfcfb64_0
c-blosc2,2.12.0,h183a6f4_0
ca-certificates,2024.6.2,h56e8100_0
cached_property,1.5.2,pyha770c72_1
cached-property,1.5.2,hd8ed1ab_1
cachetools,5.3.3,pyhd8ed1ab_0
cairo,1.16.0,hd694305_1014
cartopy,0.23.0,py310hb4db72f_1
catalogue,2.0.10,py310h5588dad_0
cbgen,1.0.1,py310he2412df_2
cdflib,1.2.4,pyhd8ed1ab_1
certifi,2024.6.2,pyhd8ed1ab_0
cffi,1.16.0,py310h8d17308_0
cfitsio,4.1.0,h5a969a9_0
cftime,1.6.4,py310hb0944cc_0
chardet,5.2.0,py310h5588dad_1
charls,2.3.4,h39d44d4_0
charset-normalizer,3.3.2,pyhd8ed1ab_0
click-plugins,1.1.1,py_0
click,8.1.7,win_pyh7428d3b_0
cligj,0.7.2,pyhd8ed1ab_1
cloudpathlib,0.16.0,pyhd8ed1ab_0
cloudpickle,3.0.0,pyhd8ed1ab_0
colorama,0.4.6,pyhd8ed1ab_0
colorcet,3.1.0,pyhd8ed1ab_0
colorlog,6.8.2,py310h5588dad_0
colour,0.1.5,pyhd8ed1ab_1
comm,0.2.2,pyhd8ed1ab_0
conda-libmamba-solver,23.7.0,pyhd8ed1ab_0
conda-package-handling,2.3.0,pyh7900ff3_0
conda-package-streaming,0.10.0,pyhd8ed1ab_0
conda,23.7.4,py310h5588dad_0
confection,0.1.4,py310h3bcd3f7_0
configobj,5.0.8,pyhd8ed1ab_0
contextily,1.6.0,pyhd8ed1ab_0
contourpy,1.2.1,py310h232114e_0
cookiecutter,2.6.0,pyhca7485f_0
cowpy,1.1.5,pyhd8ed1ab_1
cpuonly,2.0,0
cryptography,42.0.2,py310hb1f9477_0
cspice,67,hcfcfb64_6
csvkit,2.0.0,pyhd8ed1ab_0
curl,8.1.2,h68f0423_0
cycler,0.12.1,pyhd8ed1ab_0
cykhash,2.0.1,py310h00ffb61_2
cymem,2.0.8,py310h00ffb61_1
cython-blis,0.7.10,py310h3e78b6c_2
cython,3.0.10,py310h00ffb61_0
cytoolz,0.12.3,py310h8d17308_0
dask-core,2023.10.1,pyhd8ed1ab_0
dask-glm,0.3.2,pyhd8ed1ab_0
dask-ml,2024.4.4,pyhd8ed1ab_0
dask,2023.10.1,pyhd8ed1ab_0
dataclasses-json,0.6.7,pyhd8ed1ab_0
datashader,0.16.2,pyhd8ed1ab_0
dateparser,1.2.0,pyhd8ed1ab_0
dav1d,1.2.1,hcfcfb64_0
dbfread,2.0.7,py_0
deap,1.4.1,py310hb4db72f_2
debugpy,1.8.1,py310h00ffb61_0
decorator,5.1.1,pyhd8ed1ab_0
defusedxml,0.7.1,pyhd8ed1ab_0
deprecation,2.1.0,pyh9f0ad1d_0
descartes,1.1.0,py_4
dill,0.3.8,pyhd8ed1ab_0
distributed,2023.10.1,pyhd8ed1ab_0
dnspython,2.6.1,pyhd8ed1ab_1
docutils,0.21.2,pyhd8ed1ab_0
donfig,0.8.1.post1,pyhd8ed1ab_0
double-conversion,3.2.0,h63175ca_1
drms,0.6.4,pyhd8ed1ab_0
duckdb-engine,0.12.1,pyhd8ed1ab_0
earthengine-api,0.1.407,pyhd8ed1ab_0
earthpy,0.9.4,pyhd8ed1ab_0
editables,0.5,pyhd8ed1ab_0
ee_extra,0.0.15,pyhd8ed1ab_0
eerepr,0.0.4,pyhd8ed1ab_0
eigen,3.4.0,h91493d7_0
entrypoints,0.4,pyhd8ed1ab_0
eo-learn,1.5.5,pyhd8ed1ab_0
esda,2.5.1,pyhd8ed1ab_0
et_xmlfile,1.1.0,pyhd8ed1ab_0
exceptiongroup,1.2.0,pyhd8ed1ab_2
executing,2.0.1,pyhd8ed1ab_0
expat,2.6.2,h63175ca_0
fasteners,0.17.3,pyhd8ed1ab_0
featuretools,1.31.0,pyhd8ed1ab_0
ffmpeg-python,0.2.0,py_0
ffmpeg,4.4.2,gpl_h5b1d025_112
fftw,3.3.10,nompi_h89e6982_110
filelock,3.15.3,pyhd8ed1ab_0
fiona,1.8.22,py310h30f9a14_0
flexcache,0.3,pyhd8ed1ab_0
flexparser,0.3.1,pyhd8ed1ab_0
fmt,9.1.0,h181d51b_0
folium,0.17.0,pyhd8ed1ab_0
font-ttf-dejavu-sans-mono,2.37,hab24e00_0
font-ttf-inconsolata,3.000,h77eed37_0
font-ttf-source-code-pro,2.038,h77eed37_0
font-ttf-ubuntu,0.83,h77eed37_2
fontconfig,2.14.2,hbde0cde_0
fonts-conda-ecosystem,1,0
fonts-conda-forge,1,0
fonttools,4.53.0,py310ha8f682b_0
fqdn,1.5.1,pyhd8ed1ab_0
freeglut,3.2.2,h63175ca_2
freetype,2.12.1,hdaf720e_2
freexl,1.0.6,h67ca5e6_1
fribidi,1.0.10,h8d14728_0
frozendict,2.4.4,py310ha8f682b_0
frozenlist,1.4.1,py310h8d17308_0
fs-s3fs,1.1.1,pyhd8ed1ab_4
fs,2.4.16,pyhd8ed1ab_0
fsspec,2024.6.0,pyhff2d567_0
furl,2.1.3,pyhd8ed1ab_0
future,1.0.0,pyhd8ed1ab_0
gdal,3.5.2,py310h644bc08_4
gdown,5.2.0,pyhd8ed1ab_0
geeadd,0.5.6,pyhd8ed1ab_0
geemap,0.32.1,pyhd8ed1ab_0
gemgis,1.1.8,pyhd8ed1ab_0
gensim,4.3.2,py310hecd3228_1
geoalchemy2,0.13.3,pyhd8ed1ab_0
geocoder,1.38.1,py_1
geocube,0.4.2,pyhd8ed1ab_1
geographiclib,2.0,pyhd8ed1ab_0
geojson,3.1.0,pyhd8ed1ab_0
geomet,1.1.0,pyhd8ed1ab_0
geopandas-base,0.14.4,pyha770c72_0
geopandas,0.14.4,pyhd8ed1ab_0
geoplot,0.5.1,pyhd8ed1ab_0
geopy,2.4.1,pyhd8ed1ab_1
geos,3.11.0,h39d44d4_0
geosnap,0.13.1,pyhd8ed1ab_0
geotiff,1.7.1,h714bc5f_3
geoviews-core,1.12.0,pyha770c72_0
geoviews,1.12.0,pyhd8ed1ab_0
geowombat,2.0.17,py310h1671b7f_0
getopt-win32,0.1,hcfcfb64_1
gettext-tools,0.22.5,h7d00a51_2
gettext,0.22.5,h5728263_2
ghostscript,10.03.1,h63175ca_0
giddy,2.3.5,pyhd8ed1ab_1
giflib,5.2.2,h64bf75a_0
git,2.45.1,0
gl2ps,1.4.2,h0597ee9_0
glew,2.1.0,h39d44d4_2
glib-tools,2.80.2,h2f9d560_0
glib,2.80.2,h0df6a38_0
glpk,5.0,h8ffe710_0
glymur,0.13.2.post1,pyhd8ed1ab_0
gmt,6.4.0,hace14ca_2
google-api-core,2.19.0,pyhd8ed1ab_0
google-api-python-client,2.134.0,pyhd8ed1ab_0
google-auth-httplib2,0.2.0,pyhd8ed1ab_0
google-auth,2.30.0,pyhff2d567_0
google-cloud-core,2.4.1,pyhd8ed1ab_0
google-cloud-storage,2.17.0,pyhff2d567_0
google-crc32c,1.1.2,py310ha7be474_5
google-resumable-media,2.7.0,pyhd8ed1ab_0
googleapis-common-protos,1.63.1,pyhd8ed1ab_0
graphite2,1.3.13,h63175ca_1003
graphviz,8.1.0,h51cb2cd_0
greenlet,3.0.3,py310h00ffb61_0
grpcio,1.54.3,py310h8020be6_0
gsl,2.7,hdfb1a43_0
gst-plugins-base,1.22.9,h001b923_1
gstreamer,1.22.9,hb4038d2_1
gts,0.7.6,h6b5321d_4
h11,0.14.0,pyhd8ed1ab_0
h2,4.1.0,pyhd8ed1ab_0
h3-py,3.7.7,py310h00ffb61_0
h5netcdf,1.3.0,pyhd8ed1ab_0
h5py,3.8.0,nompi_py310hae7a582_100
harfbuzz,6.0.0,he256f1b_0
hatchling,1.24.2,pyhd8ed1ab_0
hdf4,4.2.15,h1b1b6ef_5
hdf5,1.12.2,nompi_h57737ce_101
holidays,0.51,pyhd8ed1ab_0
holoviews,1.19.0,pyhd8ed1ab_0
hpack,4.0.0,pyh9f0ad1d_0
html2text,2024.2.26,pyhd8ed1ab_1
httpcore,1.0.5,pyhd8ed1ab_0
httplib2,0.22.0,pyhd8ed1ab_0
httpx,0.27.0,pyhd8ed1ab_0
humanize,4.9.0,pyhd8ed1ab_0
hvplot,0.10.0,pyhd8ed1ab_0
hyperframe,6.0.1,pyhd8ed1ab_0
hyperopt,0.2.7,pyhd8ed1ab_0
icu,70.1,h0e60522_0
idle-shortcut,1.0,0
idna,3.7,pyhd8ed1ab_0
imagecodecs,2022.9.26,py310h68994fe_3
imageio,2.34.1,pyh4b66e23_0
importlib_metadata,7.1.0,hd8ed1ab_0
importlib_resources,6.4.0,pyhd8ed1ab_0
importlib-metadata,7.1.0,pyha770c72_0
importlib-resources,6.4.0,pyhd8ed1ab_0
inequality,1.0.1,pyhd8ed1ab_0
infinity,1.5,pyhd8ed1ab_0
iniconfig,2.0.0,pyhd8ed1ab_0
intake,2.0.5,pyhd8ed1ab_0
intel-openmp,2024.1.0,h57928b3_966
intervals,0.9.2,pyhd8ed1ab_0
intervaltree,3.1.0,pyhd8ed1ab_1
ipydatawidgets,4.3.2,pyhc268e32_0
ipyevents,2.0.2,pyhd8ed1ab_0
ipyfilechooser,0.6.0,pyhd8ed1ab_0
ipykernel,6.29.4,pyh4bbf305_0
ipyleaflet,0.18.2,pyhd8ed1ab_0
ipympl,0.9.4,pyhd8ed1ab_0
ipysheet,0.7.0,pyhd8ed1ab_0
ipython_genutils,0.2.0,pyhd8ed1ab_1
ipython,8.25.0,pyh7428d3b_0
ipytree,0.2.2,pyhd8ed1ab_0
ipyvolume,0.6.3,pyhd8ed1ab_0
ipyvue,1.11.0,pyhd8ed1ab_0
ipyvuetify,1.9.4,pyhd8ed1ab_0
ipywebrtc,0.6.0,pyhd8ed1ab_0
ipywidgets,8.1.3,pyhd8ed1ab_0
isodate,0.6.1,pyhd8ed1ab_0
isoduration,20.11.0,pyhd8ed1ab_0
jasper,2.0.33,hc2e4405_1
jdcal,1.4.1,py_0
jedi,0.19.1,pyhd8ed1ab_0
jinja2,3.1.4,pyhd8ed1ab_0
jmespath,1.0.1,pyhd8ed1ab_0
joblib,1.4.2,pyhd8ed1ab_0
jpeg,9e,h8ffe710_2
json5,0.9.25,pyhd8ed1ab_0
jsoncpp,1.9.5,h2d74725_1
jsonlines,1.2.0,pyh9f0ad1d_2
jsonpatch,1.33,pyhd8ed1ab_0
jsonpointer,3.0.0,py310h5588dad_0
jsonschema-specifications,2023.12.1,pyhd8ed1ab_0
jsonschema-with-format-nongpl,4.22.0,pyhd8ed1ab_0
jsonschema,4.22.0,pyhd8ed1ab_0
jupysql,0.10.1,pyhd8ed1ab_0
jupyter_client,8.6.2,pyhd8ed1ab_0
jupyter_core,5.7.2,py310h5588dad_0
jupyter_events,0.10.0,pyhd8ed1ab_0
jupyter_server_terminals,0.5.3,pyhd8ed1ab_0
jupyter_server,2.14.1,pyhd8ed1ab_0
jupyter-lsp,2.2.5,pyhd8ed1ab_0
jupyter-resource-usage,1.0.2,pyhd8ed1ab_0
jupyterlab_pygments,0.3.0,pyhd8ed1ab_1
jupyterlab_server,2.27.2,pyhd8ed1ab_0
jupyterlab_widgets,3.0.11,pyhd8ed1ab_0
jupyterlab,4.2.1,pyhd8ed1ab_0
jxrlib,1.1,hcfcfb64_3
kealib,1.4.15,hdf81f3a_1
keplergl,0.3.2,pyhd8ed1ab_0
kiwisolver,1.4.5,py310h232114e_1
krb5,1.20.1,heb0366b_0
lame,3.100,hcfcfb64_1003
langcodes,3.4.0,pyhd8ed1ab_0
language-data,1.2.0,pyhd8ed1ab_0
laspy,2.5.4,py310h3bcd3f7_0
lazrs-python,0.6.0,py310h87d50f1_0
lazy_loader,0.4,pyhd8ed1ab_0
lcms2,2.14,h90d422f_0
leafmap,0.33.6,pyhd8ed1ab_0
leather,0.3.4,pyhd8ed1ab_0
lerc,4.0.0,h63175ca_0
libabseil,20230125.3,cxx17_h63175ca_0
libaec,1.1.3,h63175ca_0
libarchive,3.6.2,h6f8411a_1
libarrow,12.0.1,h12e5d06_5_cpu
libasprintf-devel,0.22.5,h5728263_2
libasprintf,0.22.5,h5728263_2
libavif,0.11.1,ha7b97ba_2
libblas,3.9.0,12_win64_mkl
libbrotlicommon,1.0.9,hcfcfb64_9
libbrotlidec,1.0.9,hcfcfb64_9
libbrotlienc,1.0.9,hcfcfb64_9
libbson,1.23.2,h63175ca_0
libcblas,3.9.0,12_win64_mkl
libclang,15.0.7,default_h3a3e6c3_5
libclang13,15.0.7,default_hf64faad_5
libcrc32c,1.1.2,h0e60522_0
libcurl,8.1.2,h68f0423_0
libdeflate,1.14,hcfcfb64_0
libevent,2.1.12,h3671451_1
libexpat,2.6.2,h63175ca_0
libffi,3.4.2,h8ffe710_5
libflac,1.4.3,h63175ca_0
libgd,2.3.3,h891f43f_3
libgdal,3.5.2,h2477998_4
libgettextpo-devel,0.22.5,h5728263_2
libgettextpo,0.22.5,h5728263_2
libglib,2.80.2,h0df6a38_0
libgoogle-cloud,2.12.0,h00b2bdc_1
libgrpc,1.54.3,ha177ca7_0
libhwloc,2.10.0,default_h8125262_1001
libiconv,1.17,hcfcfb64_2
libintl-devel,0.22.5,h5728263_2
libintl,0.22.5,h5728263_2
libjpeg-turbo,2.1.4,hcfcfb64_0
libkml,1.3.0,hd45a9bc_1016
liblapack,3.9.0,12_win64_mkl
liblapacke,3.9.0,12_win64_mkl
libmamba,1.4.9,ha24f096_0
libmambapy,1.4.9,py310h3fe4c2e_0
libnetcdf,4.8.1,nompi_h8c042bf_106
libogg,1.3.4,h8ffe710_1
libopencv,4.6.0,py310hb1fdf93_4
libopus,1.3.1,h8ffe710_1
libpng,1.6.43,h19919ed_0
libpq,14.5,ha9684e8_6
libprotobuf,3.21.12,h12be248_2
libpysal,4.7.0,pyhd8ed1ab_0
librttopo,1.1.0,h2842628_11
libsndfile,1.2.2,h81429f1_1
libsodium,1.0.18,h8d14728_1
libsolv,0.7.29,h0ea2cb4_0
libspatialindex,2.0.0,h5a68840_0
libspatialite,5.0.1,hd9530bf_19
libsqlite,3.46.0,h2466b09_0
libssh2,1.11.0,h7dfc565_0
libtheora,1.1.1,h8d14728_1005
libthrift,0.18.1,h06f6336_2
libtiff,4.4.0,hc4f729c_5
libutf8proc,2.8.0,h82a8f57_0
libuv,1.48.0,hcfcfb64_0
libvorbis,1.3.7,h0e60522_0
libwebp-base,1.4.0,hcfcfb64_0
libwebp,1.4.0,h2466b09_0
libxcb,1.13,hcd874cb_1004
libxgboost,2.0.3,cpu_hb3f76d0_4
libxml2,2.12.7,h283a6d9_1
libxslt,1.1.39,h3df6e99_0
libzip,1.10.1,h1d365fa_3
libzlib,1.2.13,h2466b09_6
libzopfli,1.0.3,h0e60522_0
lidar,0.7.1,pyhd8ed1ab_0
linkify-it-py,2.0.3,pyhd8ed1ab_0
littleutils,0.2.2,py_0
llvm-openmp,18.1.8,hc790b64_0
llvmlite,0.42.0,py310hb84602e_1
locket,1.0.0,pyhd8ed1ab_0
loguru,0.7.2,py310h5588dad_1
logzero,1.7.0,py310h5588dad_5
lxml,5.2.2,py310hdccf185_0
lz4-c,1.9.4,hcfcfb64_0
lz4,4.3.3,py310hbbb2075_0
lzo,2.10,hcfcfb64_1001
m2w64-gcc-libgfortran,5.3.0,6
m2w64-gcc-libs-core,5.3.0,7
m2w64-gcc-libs,5.3.0,7
m2w64-gmp,6.1.0,2
m2w64-libwinpthread-git,5.0.0.4634.697f757,2
mako,1.3.5,pyhd8ed1ab_0
mamba,1.4.9,py310hd9d798f_0
mapclassify,2.6.1,pyhd8ed1ab_0
marisa-trie,1.1.0,py310h00ffb61_1
markdown-it-py,3.0.0,pyhd8ed1ab_0
markdown,3.6,pyhd8ed1ab_0
markupsafe,2.1.5,py310h8d17308_0
marshmallow,3.21.3,pyhd8ed1ab_0
matplotlib-base,3.8.4,py310hadb10a8_2
matplotlib-inline,0.1.7,pyhd8ed1ab_0
matplotlib-scalebar,0.8.1,pyhd8ed1ab_0
matplotlib,3.8.4,py310h5588dad_2
mdit-py-plugins,0.4.1,pyhd8ed1ab_0
mdurl,0.1.2,pyhd8ed1ab_0
mechanicalsoup,1.2.0,pyhd8ed1ab_0
menuinst,1.4.20,py310h00ffb61_0
